Address;Name
296 S PEARL ST, ALBANY, NY  12207 ;ALBANY CITY SCHOOL DISTRICT
35 S FERRY ST, ALBANY, NY  12206 ;EQUINOX INC.
13 TRINITY PL, ALBANY, NY  12202 ;TRINITY INSTITUTE INC
15 TRINITY PL, ALBANY, NY  12202 ;TRINITY INSTITUTE INC
257 S PEARL ST, ALBANY, NY  12201 ;CAPITAL CITY RESCUE MISSION
7 MORTON AVE, ALBANY, NY  12202 ;UNION MISSIONARY BAPTIST
92 HERKIMER ST, ALBANY, NY  12202 ;ST JOHNS CHURCH OF GOD
3 MORTON AVE, ALBANY, NY  12202 ;UNION MISSIONARY BAPTIST
142 GREEN ST, ALBANY, NY  12210 ;CHIOU DEVELOPMENT GROUOP LLC
59 DONGAN AVE, ALBANY, NY  12206 ;EQUINOX SHELTER INC
58 ALEXANDER ST, ALBANY, NY  12202 ;MOUNT CALVARY BAPTIST CHURCH
27 DELAWARE ST, ALBANY, NY  12202 ;WALLS TEMPLE AFRICAN METH
76 CLINTON ST, ALBANY, NY  12202 ;HEALING FROM HEAVEN FRIENDS
82 CLINTON ST, ALBANY, NY  12202 ;HEALING FROM HEAVEN FRIENDS
355 S PEARL ST, ALBANY, NY  12206 ;NEW CHURCH OF CHRIST OF THE
86 SCHUYLER ST, ALBANY, NY  12202 ;MOUNT ZION BAPTIST CHURCH
5 ST ANN'S PL, ALBANY, NY  12209 ;ST. ANN'S CHURCH
95 FOURTH AVE, ALBANY, NY  12209 ;ST. ANN'S CHURCH
93 FOURTH AVE, ALBANY, NY  12209 ;ST. ANN'S CHURCH
33 RENSSELAER ST, ALBANY, NY  12202 ;REIGNING LIFE MINISTRIES
74 FOURTH AVE, ALBANY, NY  12202 ;ST JOHNS CHURCH OF GOD
