,site_name,address
0,BURKE COMMUNITY SERVICE,99 SLINGERLAND ST ALBANY NY
1,ST GEORGE ANTIOCHIAN,1 ST GEORGE PL ALBANY NY
2,ALBANY COMMUNITY CHARTER SCHOO,42 S DOVE ST ALBANY NY
3,ALBANY COMMUNITY CHARTER SCHO,65 KRANK ST ALBANY NY
4,HOLY SPIRIT EV LUTHERAN CHURCH,57 HURLBUT ST ALBANY NY
5,NEW HOPE CHURCH,334 SECOND AVE ALBANY NY
6,CONCILIO DE IGLESIA PENTECOST,14 BENJAMIN ST ALBANY NY
7,ELIJAH MISSIONARY BAPTIST ,74 SECOND AVE ALBANY NY
8,ELIJAH MISSIONARY BAPTIST ,70 SECOND AVE ALBANY NY
9,ST PETER'S HOSPITAL FOUNDATION,62 SECOND AVE ALBANY NY
